#城市人口 城市面积 饭店利润
 6.1101 62.69120441380838 17.592
 5.5277 57.74808950930212 9.1302
 8.518599999999999 93.69594688419825 13.662
 7.0032 74.01235484635562 11.854
 5.8598 64.20243561589143 6.8233
 8.382899999999999 86.67375685998338 11.886
 7.4764 80.49422253502246 4.3483
 8.578099999999999 89.66779434943763 12
 6.4862 71.25629612859848 6.5987
 5.0546 51.17408335002029 3.8166
 5.7107 57.7446440019858 3.2522
 14.164 153.4374620676878 15.505
 5.734 62.2086406532647 3.1551
 8.4084 91.8230700156108 7.2258
 5.6407 56.68511126495369 0.71618
 5.3794 56.70314334189669 3.5129
 6.3654 64.73218109065455 5.3048
 5.1301 51.40995802544028 0.56077
 6.4296 69.6977688040994 3.6518
 7.0708 76.05952400775523 5.3893
 6.1891 65.84093012546018 3.1386
 20.27 204.7906093885437 21.767
 5.4901 59.86986631632833 4.263
 6.3261 63.82656326696863 5.1875
 5.5649 60.09991999528702 3.0825
 18.945 199.6216843684174 22.638
 12.828 130.768988003362 13.501
 10.957 119.0302896857359 7.0467
 13.176 140.8743525795423 14.692
 22.203 234.5110144430985 24.147
 5.2524 55.02238398712217 -1.22
 6.5894 69.79278718933739 5.9966
 9.248200000000001 95.50082628672035 12.134
 5.8918 60.40517566896511 1.8495
 8.2111 84.77586705805136 6.5426
 7.9334 85.55860425909827 4.5623
 8.0959 84.48674484952824 4.1164
 5.6063 56.35078473442867 3.3928
 12.836 135.2762640799237 10.117
 6.3534 69.02204534250616 5.4974
 5.4069 55.64894819839269 0.55657
 6.8825 74.22911496268983 3.9115
 11.708 122.93644912043 5.3854
 5.7737 59.45412968522889 2.4406
 7.8247 79.09025690959578 6.7318
 7.0931 72.59077776804462 1.0463
 5.0702 54.96114085523354 5.1337
 5.8014 61.2322194018158 1.844
 11.7 121.9334756509726 8.004300000000001
 5.5416 57.24071762065996 1.0179
 7.5402 76.99863471046226 6.7504
 5.3077 55.61844320438637 1.8396
 7.4239 75.58885298442463 4.2885
 7.6031 76.82976272317624 4.9981
 6.3328 67.96211399512869 1.4233
 6.3589 69.02254782372708 -1.4211
 6.2742 65.08990641566913 2.4756
 5.6397 59.3266153694011 4.6042
 9.3102 98.90777260315907 3.9624
 9.4536 95.16770579429613 5.4141
 8.8254 88.39155444381609 5.1694
 5.1793 52.69157389539779 -0.74279
 21.279 224.8698839669407 17.929
 14.908 153.1514562627489 12.054
 18.959 196.4857124234836 17.054
 7.2182 79.30666354756154 4.8852
 8.2951 85.01580291158723 5.7442
 10.236 105.8657929827229 7.7754
 5.4994 59.45958373996788 1.0173
 20.341 209.0655868708131 20.992
 10.136 110.1200784137024 6.6799
 7.3345 77.70907741259613 4.0259
 6.0062 64.27353667775898 1.2784
 7.2259 78.20963610369029 3.3411
 5.0269 53.1793161959044 -2.6807
 6.5479 67.00311478230743 0.29678
 7.5386 81.37520126255312 3.8845
 5.0365 53.08988512477843 5.7014
 10.274 112.2310496632102 6.7526
 5.1077 56.06704923901993 2.0576
 5.7292 57.99512081822598 0.47953
 5.1884 56.57719841537415 0.20421
 6.3557 68.96929402700447 0.67861
 9.768700000000001 102.3144458230616 7.5435
 6.5159 70.27478388440895 5.3436
 8.517200000000001 88.16761394502964 4.2415
 9.180199999999999 94.33478909185574 6.7981
 6.002 64.59823365559002 0.9269500000000001
 5.5204 55.83944855223977 0.152
 5.0594 53.19038066843575 2.8214
 5.7077 60.5252282059873 1.8451
 7.6366 83.57234546334598 4.2959
 5.8707 61.17303758467492 7.2029
 5.3054 54.45600956420438 1.9869
 8.2934 84.66817916682707 0.14454
 13.394 138.4061255439148 9.055099999999999
 5.4369 55.85386728042067 0.61705
